id,value,category
746,7460,A
747,7470,B
748,7480,A
749,7490,B
750,7500,A
751,7510,B
752,7520,A
753,7530,B
754,7540,A
755,7550,B
756,7560,A
757,7570,B
758,7580,A
759,7590,B
760,7600,A
761,7610,B
762,7620,A
763,7630,B
764,7640,A
765,7650,B
766,7660,A
767,7670,B
768,7680,A
769,7690,B
770,7700,A
771,7710,B
772,7720,A
773,7730,B
774,7740,A
775,7750,B
776,7760,A
777,7770,B
778,7780,A
779,7790,B
780,7800,A
781,7810,B
782,7820,A
783,7830,B
784,7840,A
785,7850,B
786,7860,A
787,7870,B
788,7880,A
789,7890,B
790,7900,A
791,7910,B
792,7920,A
793,7930,B
794,7940,A
795,7950,B
796,7960,A
797,7970,B
798,7980,A
799,7990,B
800,8000,A
801,8010,B
802,8020,A
803,8030,B
804,8040,A
805,8050,B
806,8060,A
807,8070,B
808,8080,A
809,8090,B
810,8100,A
811,8110,B
812,8120,A
813,8130,B
814,8140,A
815,8150,B
816,8160,A
817,8170,B
818,8180,A
819,8190,B
820,8200,A
821,8210,B
822,8220,A
823,8230,B
824,8240,A
825,8250,B
826,8260,A
827,8270,B
828,8280,A
829,8290,B
830,8300,A
831,8310,B
832,8320,A
833,8330,B
834,8340,A
835,8350,B
836,8360,A
837,8370,B
838,8380,A
839,8390,B
840,8400,A
841,8410,B
842,8420,A
843,8430,B
844,8440,A
845,8450,B
846,8460,A
847,8470,B
848,8480,A
849,8490,B
850,8500,A
851,8510,B
852,8520,A
853,8530,B
854,8540,A
855,8550,B
856,8560,A
857,8570,B
858,8580,A
859,8590,B
860,8600,A
861,8610,B
862,8620,A
863,8630,B
864,8640,A
865,8650,B
866,8660,A
867,8670,B
868,8680,A
869,8690,B
870,8700,A
871,8710,B
872,8720,A
873,8730,B
874,8740,A
875,8750,B
876,8760,A
877,8770,B
878,8780,A
879,8790,B
880,8800,A
881,8810,B
882,8820,A
883,8830,B
884,8840,A
885,8850,B
886,8860,A
887,8870,B
888,8880,A
889,8890,B
890,8900,A
891,8910,B
892,8920,A
893,8930,B
894,8940,A
895,8950,B
896,8960,A
897,8970,B
898,8980,A
899,8990,B
900,9000,A
901,9010,B
902,9020,A
903,9030,B
904,9040,A
905,9050,B
906,9060,A
907,9070,B
908,9080,A
909,9090,B
910,9100,A
911,9110,B
912,9120,A
913,9130,B
914,9140,A
915,9150,B
916,9160,A
917,9170,B
918,9180,A
919,9190,B
920,9200,A
921,9210,B
922,9220,A
923,9230,B
924,9240,A
925,9250,B
926,9260,A
927,9270,B
928,9280,A
929,9290,B
930,9300,A
931,9310,B
932,9320,A
933,9330,B
934,9340,A
935,9350,B
936,9360,A
937,9370,B
938,9380,A
939,9390,B
940,9400,A
941,9410,B
942,9420,A
943,9430,B
944,9440,A
945,9450,B
946,9460,A
947,9470,B
948,9480,A
949,9490,B
950,9500,A
951,9510,B
952,9520,A
953,9530,B
954,9540,A
955,9550,B
956,9560,A
957,9570,B
958,9580,A
959,9590,B
960,9600,A
961,9610,B
962,9620,A
963,9630,B
964,9640,A
965,9650,B
966,9660,A
967,9670,B
968,9680,A
969,9690,B
970,9700,A
971,9710,B
972,9720,A
973,9730,B
974,9740,A
975,9750,B
976,9760,A
977,9770,B
978,9780,A
979,9790,B
980,9800,A
981,9810,B
982,9820,A
983,9830,B
984,9840,A
985,9850,B
986,9860,A
987,9870,B
988,9880,A
989,9890,B
990,9900,A
991,9910,B
992,9920,A
993,9930,B
994,9940,A
995,9950,B
996,9960,A
997,9970,B
998,9980,A
999,9990,B
1000,10000,A
1001,10010,B
1002,10020,A
1003,10030,B
1004,10040,A
1005,10050,B
1006,10060,A
1007,10070,B
1008,10080,A
1009,10090,B
1010,10100,A
1011,10110,B
1012,10120,A
1013,10130,B
1014,10140,A
1015,10150,B
1016,10160,A
1017,10170,B
1018,10180,A
1019,10190,B
1020,10200,A
1021,10210,B
1022,10220,A
1023,10230,B
1024,10240,A
1025,10250,B
1026,10260,A
1027,10270,B
1028,10280,A
1029,10290,B
1030,10300,A
1031,10310,B
1032,10320,A
1033,10330,B
1034,10340,A
1035,10350,B
1036,10360,A
1037,10370,B
1038,10380,A
1039,10390,B
1040,10400,A
1041,10410,B
1042,10420,A
1043,10430,B
1044,10440,A
1045,10450,B
1046,10460,A
1047,10470,B
1048,10480,A
1049,10490,B
1050,10500,A
1051,10510,B
1052,10520,A
1053,10530,B
1054,10540,A
1055,10550,B
1056,10560,A
1057,10570,B
1058,10580,A
1059,10590,B
1060,10600,A
1061,10610,B
1062,10620,A
1063,10630,B
1064,10640,A
1065,10650,B
1066,10660,A
1067,10670,B
1068,10680,A
1069,10690,B
1070,10700,A
1071,10710,B
1072,10720,A
1073,10730,B
1074,10740,A
1075,10750,B
1076,10760,A
1077,10770,B
1078,10780,A
1079,10790,B
1080,10800,A
1081,10810,B
1082,10820,A
1083,10830,B
1084,10840,A
1085,10850,B
1086,10860,A
1087,10870,B
1088,10880,A
1089,10890,B
1090,10900,A
1091,10910,B
1092,10920,A
1093,10930,B
1094,10940,A
1095,10950,B
1096,10960,A
1097,10970,B
1098,10980,A
1099,10990,B
1100,11000,A
1101,11010,B
1102,11020,A
1103,11030,B
1104,11040,A
1105,11050,B
1106,11060,A
1107,11070,B
1108,11080,A
1109,11090,B
1110,11100,A
1111,11110,B
1112,11120,A
1113,11130,B
1114,11140,A
1115,11150,B
1116,11160,A
1117,11170,B
1118,11180,A
1119,11190,B
1120,11200,A
1121,11210,B
1122,11220,A
1123,11230,B
1124,11240,A
1125,11250,B
1126,11260,A
1127,11270,B
1128,11280,A
1129,11290,B
1130,11300,A
1131,11310,B
1132,11320,A
1133,11330,B
1134,11340,A
1135,11350,B
1136,11360,A
1137,11370,B
1138,11380,A
1139,11390,B
1140,11400,A
1141,11410,B
1142,11420,A
1143,11430,B
1144,11440,A
1145,11450,B
1146,11460,A
1147,11470,B
1148,11480,A
1149,11490,B
1150,11500,A
1151,11510,B
1152,11520,A
1153,11530,B
1154,11540,A
1155,11550,B
1156,11560,A
1157,11570,B
1158,11580,A
1159,11590,B
1160,11600,A
1161,11610,B
1162,11620,A
1163,11630,B
1164,11640,A
1165,11650,B
1166,11660,A
1167,11670,B
1168,11680,A
1169,11690,B
1170,11700,A
1171,11710,B
1172,11720,A
1173,11730,B
1174,11740,A
1175,11750,B
1176,11760,A
1177,11770,B
1178,11780,A
1179,11790,B
1180,11800,A
1181,11810,B
1182,11820,A
1183,11830,B
1184,11840,A
1185,11850,B
1186,11860,A
1187,11870,B
1188,11880,A
1189,11890,B
1190,11900,A
1191,11910,B
1192,11920,A
1193,11930,B
1194,11940,A
1195,11950,B
1196,11960,A
1197,11970,B
1198,11980,A
1199,11990,B
1200,12000,A
1201,12010,B
1202,12020,A
1203,12030,B
1204,12040,A
1205,12050,B
1206,12060,A
1207,12070,B
1208,12080,A
1209,12090,B
1210,12100,A
1211,12110,B
1212,12120,A
1213,12130,B
1214,12140,A
1215,12150,B
1216,12160,A
1217,12170,B
1218,12180,A
1219,12190,B
1220,12200,A
1221,12210,B
1222,12220,A
1223,12230,B
1224,12240,A
1225,12250,B
1226,12260,A
1227,12270,B
1228,12280,A
1229,12290,B
1230,12300,A
1231,12310,B
1232,12320,A
1233,12330,B
1234,12340,A
1235,12350,B
1236,12360,A
1237,12370,B
1238,12380,A
1239,12390,B
1240,12400,A
1241,12410,B
1242,12420,A
1243,12430,B
1244,12440,A
1245,12450,B
1246,12460,A
1247,12470,B
1248,12480,A
1249,12490,B
1250,12500,A
1251,12510,B
1252,12520,A
1253,12530,B
1254,12540,A
1255,12550,B
1256,12560,A
1257,12570,B
1258,12580,A
1259,12590,B
1260,12600,A
1261,12610,B
1262,12620,A
1263,12630,B
1264,12640,A
1265,12650,B
1266,12660,A
1267,12670,B
1268,12680,A
1269,12690,B
1270,12700,A
1271,12710,B
1272,12720,A
1273,12730,B
1274,12740,A
1275,12750,B
1276,12760,A
1277,12770,B
1278,12780,A
1279,12790,B
1280,12800,A
1281,12810,B
1282,12820,A
1283,12830,B
1284,12840,A
1285,12850,B
1286,12860,A
1287,12870,B
1288,12880,A
1289,12890,B
1290,12900,A
1291,12910,B
1292,12920,A
1293,12930,B
1294,12940,A
1295,12950,B
1296,12960,A
1297,12970,B
1298,12980,A
1299,12990,B
1300,13000,A
1301,13010,B
1302,13020,A
1303,13030,B
1304,13040,A
1305,13050,B
1306,13060,A
1307,13070,B
1308,13080,A
1309,13090,B
1310,13100,A
1311,13110,B
1312,13120,A
1313,13130,B
1314,13140,A
1315,13150,B
1316,13160,A
1317,13170,B
1318,13180,A
1319,13190,B
1320,13200,A
1321,13210,B
1322,13220,A
1323,13230,B
1324,13240,A
1325,13250,B
1326,13260,A
1327,13270,B
1328,13280,A
1329,13290,B
1330,13300,A
1331,13310,B
1332,13320,A
1333,13330,B
1334,13340,A
1335,13350,B
1336,13360,A
1337,13370,B
1338,13380,A
1339,13390,B
1340,13400,A
1341,13410,B
1342,13420,A
1343,13430,B
1344,13440,A
1345,13450,B
1346,13460,A
1347,13470,B
1348,13480,A
1349,13490,B
1350,13500,A
1351,13510,B
1352,13520,A
1353,13530,B
1354,13540,A
1355,13550,B
1356,13560,A
1357,13570,B
1358,13580,A
1359,13590,B
1360,13600,A
1361,13610,B
1362,13620,A
1363,13630,B
1364,13640,A
1365,13650,B
1366,13660,A
1367,13670,B
1368,13680,A
1369,13690,B
1370,13700,A
1371,13710,B
1372,13720,A
1373,13730,B
1374,13740,A
1375,13750,B
1376,13760,A
1377,13770,B
1378,13780,A
1379,13790,B
1380,13800,A
1381,13810,B
1382,13820,A
1383,13830,B
1384,13840,A
1385,13850,B
1386,13860,A
1387,13870,B
1388,13880,A
1389,13890,B
1390,13900,A
1391,13910,B
1392,13920,A
1393,13930,B
1394,13940,A
1395,13950,B
1396,13960,A
1397,13970,B
1398,13980,A
1399,13990,B
1400,14000,A
1401,14010,B
1402,14020,A
1403,14030,B
1404,14040,A
1405,14050,B
1406,14060,A
1407,14070,B
1408,14080,A
1409,14090,B
1410,14100,A
1411,14110,B
1412,14120,A
1413,14130,B
1414,14140,A
1415,14150,B
1416,14160,A
1417,14170,B
1418,14180,A
1419,14190,B
1420,14200,A
1421,14210,B
1422,14220,A
1423,14230,B
1424,14240,A
1425,14250,B
1426,14260,A
1427,14270,B
1428,14280,A
1429,14290,B
1430,14300,A
1431,14310,B
1432,14320,A
1433,14330,B
1434,14340,A
1435,14350,B
1436,14360,A
1437,14370,B
1438,14380,A
1439,14390,B
1440,14400,A
1441,14410,B
1442,14420,A
1443,14430,B
1444,14440,A
1445,14450,B
1446,14460,A
1447,14470,B
1448,14480,A
1449,14490,B
1450,14500,A
1451,14510,B
1452,14520,A
1453,14530,B
1454,14540,A
1455,14550,B
1456,14560,A
1457,14570,B
1458,14580,A
1459,14590,B
1460,14600,A
1461,14610,B
1462,14620,A
1463,14630,B
1464,14640,A
1465,14650,B
1466,14660,A
1467,14670,B
1468,14680,A
1469,14690,B
1470,14700,A
1471,14710,B
1472,14720,A
1473,14730,B
1474,14740,A
1475,14750,B
1476,14760,A
1477,14770,B
1478,14780,A
1479,14790,B
1480,14800,A
1481,14810,B
1482,14820,A
1483,14830,B
1484,14840,A
1485,14850,B
1486,14860,A
1487,14870,B
1488,14880,A
1489,14890,B
1490,14900,A
1491,14910,B
1492,14920,A
1493,14930,B
1494,14940,A
1495,14950,B
1496,14960,A
1497,14970,B
1498,14980,A
1499,14990,B
1500,15000,A
1501,15010,B
1502,15020,A
1503,15030,B
1504,15040,A
1505,15050,B
1506,15060,A
1507,15070,B
1508,15080,A
1509,15090,B
1510,15100,A
1511,15110,B
1512,15120,A
1513,15130,B
1514,15140,A
1515,15150,B
1516,15160,A
1517,15170,B
1518,15180,A
1519,15190,B
1520,15200,A
1521,15210,B
1522,15220,A
1523,15230,B
1524,15240,A
1525,15250,B
1526,15260,A
1527,15270,B
1528,15280,A
1529,15290,B
1530,15300,A
1531,15310,B
1532,15320,A
1533,15330,B
1534,15340,A
1535,15350,B
1536,15360,A
1537,15370,B
1538,15380,A
1539,15390,B
1540,15400,A
1541,15410,B
1542,15420,A
1543,15430,B
1544,15440,A
1545,15450,B
1546,15460,A
1547,15470,B
1548,15480,A
1549,15490,B
1550,15500,A
1551,15510,B
1552,15520,A
1553,15530,B
1554,15540,A
1555,15550,B
1556,15560,A
1557,15570,B
1558,15580,A
1559,15590,B
1560,15600,A
1561,15610,B
1562,15620,A
1563,15630,B
1564,15640,A
1565,15650,B
1566,15660,A
1567,15670,B
1568,15680,A
1569,15690,B
1570,15700,A
1571,15710,B
1572,15720,A
1573,15730,B
1574,15740,A
1575,15750,B
1576,15760,A
1577,15770,B
1578,15780,A
1579,15790,B
1580,15800,A
1581,15810,B
1582,15820,A
1583,15830,B
1584,15840,A
1585,15850,B
1586,15860,A
1587,15870,B
1588,15880,A
1589,15890,B
1590,15900,A
1591,15910,B
1592,15920,A
1593,15930,B
1594,15940,A
1595,15950,B
1596,15960,A
1597,15970,B
1598,15980,A
1599,15990,B
1600,16000,A
1601,16010,B
1602,16020,A
1603,16030,B
1604,16040,A
1605,16050,B
1606,16060,A
1607,16070,B
1608,16080,A
1609,16090,B
1610,16100,A
1611,16110,B
1612,16120,A
1613,16130,B
1614,16140,A
1615,16150,B
1616,16160,A
1617,16170,B
1618,16180,A
1619,16190,B
1620,16200,A
1621,16210,B
1622,16220,A
1623,16230,B
1624,16240,A
1625,16250,B
1626,16260,A
1627,16270,B
1628,16280,A
1629,16290,B
1630,16300,A
1631,16310,B
1632,16320,A
1633,16330,B
1634,16340,A
1635,16350,B
1636,16360,A
1637,16370,B
1638,16380,A
1639,16390,B
1640,16400,A
1641,16410,B
1642,16420,A
1643,16430,B
1644,16440,A
1645,16450,B
1646,16460,A
1647,16470,B
1648,16480,A
1649,16490,B
1650,16500,A
1651,16510,B
1652,16520,A
1653,16530,B
1654,16540,A
1655,16550,B
1656,16560,A
1657,16570,B
1658,16580,A
1659,16590,B
1660,16600,A
1661,16610,B
1662,16620,A
1663,16630,B
1664,16640,A
1665,16650,B
1666,16660,A
1667,16670,B
1668,16680,A
1669,16690,B
1670,16700,A
1671,16710,B
1672,16720,A
1673,16730,B
1674,16740,A
1675,16750,B
1676,16760,A
1677,16770,B
1678,16780,A
1679,16790,B
1680,16800,A
1681,16810,B
1682,16820,A
1683,16830,B
1684,16840,A
1685,16850,B
1686,16860,A
1687,16870,B
1688,16880,A
1689,16890,B
1690,16900,A
1691,16910,B
1692,16920,A
1693,16930,B
1694,16940,A
1695,16950,B
1696,16960,A
1697,16970,B
1698,16980,A
1699,16990,B
1700,17000,A
1701,17010,B
1702,17020,A
1703,17030,B
1704,17040,A
1705,17050,B
1706,17060,A
1707,17070,B
1708,17080,A
1709,17090,B
1710,17100,A
1711,17110,B
1712,17120,A
1713,17130,B
1714,17140,A
1715,17150,B
1716,17160,A
1717,17170,B
1718,17180,A
1719,17190,B
1720,17200,A
1721,17210,B
1722,17220,A
1723,17230,B
1724,17240,A
1725,17250,B
1726,17260,A
1727,17270,B
1728,17280,A
1729,17290,B
1730,17300,A
1731,17310,B
1732,17320,A
1733,17330,B
1734,17340,A
1735,17350,B
1736,17360,A
1737,17370,B
1738,17380,A
1739,17390,B
1740,17400,A
1741,17410,B
1742,17420,A
1743,17430,B
1744,17440,A
1745,17450,B
1746,17460,A
1747,17470,B
1748,17480,A
1749,17490,B
1750,17500,A
1751,17510,B
1752,17520,A
1753,17530,B
1754,17540,A
1755,17550,B
1756,17560,A
1757,17570,B
1758,17580,A
1759,17590,B
1760,17600,A
1761,17610,B
1762,17620,A
1763,17630,B
1764,17640,A
1765,17650,B
1766,17660,A
1767,17670,B
1768,17680,A
1769,17690,B
1770,17700,A
1771,17710,B
1772,17720,A
1773,17730,B
1774,17740,A
1775,17750,B
1776,17760,A
1777,17770,B
1778,17780,A
1779,17790,B
1780,17800,A
1781,17810,B
1782,17820,A
1783,17830,B
1784,17840,A
1785,17850,B
1786,17860,A
1787,17870,B
1788,17880,A
1789,17890,B
1790,17900,A
1791,17910,B
1792,17920,A
1793,17930,B
1794,17940,A
1795,17950,B
1796,17960,A
1797,17970,B
1798,17980,A
1799,17990,B
1800,18000,A
1801,18010,B
1802,18020,A
1803,18030,B
1804,18040,A
1805,18050,B
1806,18060,A
1807,18070,B
1808,18080,A
1809,18090,B
1810,18100,A
1811,18110,B
1812,18120,A
1813,18130,B
1814,18140,A
1815,18150,B
1816,18160,A
1817,18170,B
1818,18180,A
1819,18190,B
1820,18200,A
1821,18210,B
1822,18220,A
1823,18230,B
1824,18240,A
1825,18250,B
1826,18260,A
1827,18270,B
1828,18280,A
1829,18290,B
1830,18300,A
1831,18310,B
1832,18320,A
1833,18330,B
1834,18340,A
1835,18350,B
1836,18360,A
1837,18370,B
1838,18380,A
1839,18390,B
1840,18400,A
1841,18410,B
1842,18420,A
1843,18430,B
1844,18440,A
1845,18450,B
1846,18460,A
1847,18470,B
1848,18480,A
1849,18490,B
1850,18500,A
1851,18510,B
1852,18520,A
1853,18530,B
1854,18540,A
1855,18550,B
1856,18560,A
1857,18570,B
1858,18580,A
1859,18590,B
1860,18600,A
1861,18610,B
1862,18620,A
1863,18630,B
1864,18640,A
1865,18650,B
1866,18660,A
1867,18670,B
1868,18680,A
1869,18690,B
1870,18700,A
1871,18710,B
1872,18720,A
1873,18730,B
1874,18740,A
1875,18750,B
1876,18760,A
1877,18770,B
1878,18780,A
1879,18790,B
1880,18800,A
1881,18810,B
1882,18820,A
1883,18830,B
1884,18840,A
1885,18850,B
